Semaine,Date_debut,Mois,Trimestre,Maladie,Total_cas,Total_deces,Taux_letalite_pct
2023-S08,2023-02-20,2,Q1,Fièvre typhoïde,35038.0,161.5,0.46
2023-S08,2023-02-22,2,Q1,Fièvre typhoïde,854.0,0.0,0.0
2023-S08,2023-02-23,2,Q1,Fièvre typhoïde,1766.0,1.0,0.06
2023-S22,2023-06-02,6,Q2,Fièvre typhoïde,37860.0,9.0,0.02
2023-S26,2023-07-01,7,Q3,Fièvre typhoïde,933.0,0.0,0.0
2023-S35,2023-09-01,9,Q3,Fièvre typhoïde,35007.0,5.0,0.01
2023-S35,2023-09-02,9,Q3,Fièvre typhoïde,797.0,0.0,0.0
2023-S48,2023-12-01,12,Q4,Fièvre typhoïde,624.0,0.0,0.0
2023-S48,2023-12-02,12,Q4,Fièvre typhoïde,1.0,0.0,0.0
2023-S00,2023-01-01,1,Q1,Grippe,1238.0,1.0,0.08
2023-S01,2023-01-02,1,Q1,Grippe,6236.0,127.5,2.04
2023-S02,2023-01-09,1,Q1,Grippe,5980.0,135.0,2.26
2023-S03,2023-01-16,1,Q1,Grippe,46331.0,103.6,0.22
2023-S03,2023-01-17,1,Q1,Grippe,4274.0,0.0,0.0
2023-S03,2023-01-19,1,Q1,Grippe,910.0,0.0,0.0
2023-S03,2023-01-22,1,Q1,Grippe,4495.0,0.0,0.0
2023-S04,2023-01-23,1,Q1,Grippe,46194.0,139.6,0.3
2023-S04,2023-01-24,1,Q1,Grippe,30.0,0.0,0.0
2023-S04,2023-01-26,1,Q1,Grippe,1231.0,0.0,0.0
2023-S04,2023-01-29,1,Q1,Grippe,137.0,0.0,0.0
2023-S05,2023-01-30,1,Q1,Grippe,48723.0,1.0,0.0
2023-S05,2023-02-01,2,Q1,Grippe,42003.0,3.0,0.01
2023-S06,2023-02-06,2,Q1,Grippe,5891.0,0.0,0.0
2023-S07,2023-02-13,2,Q1,Grippe,51180.0,144.5,0.28
2023-S07,2023-02-16,2,Q1,Grippe,1489.0,0.0,0.0
2023-S08,2023-02-20,2,Q1,Grippe,41398.0,137.6,0.33
2023-S08,2023-02-22,2,Q1,Grippe,1121.0,0.0,0.0
2023-S08,2023-02-23,2,Q1,Grippe,3462.0,0.0,0.0
2023-S22,2023-06-02,6,Q2,Grippe,43902.0,2.0,0.0
2023-S26,2023-07-01,7,Q3,Grippe,306.0,0.0,0.0
2023-S35,2023-09-01,9,Q3,Grippe,40776.0,2.0,0.0
2023-S35,2023-09-02,9,Q3,Grippe,967.0,0.0,0.0
2023-S48,2023-12-01,12,Q4,Grippe,1098.0,0.0,0.0
2023-S00,2023-01-01,1,Q1,Infection respiratoire aiguë,4596.0,0.0,0.0
2023-S01,2023-01-02,1,Q1,Infection respiratoire aiguë,17287.0,3239.2000000000003,18.74
2023-S02,2023-01-09,1,Q1,Infection respiratoire aiguë,17587.0,3459.8,19.67
2023-S03,2023-01-16,1,Q1,Infection respiratoire aiguë,100074.0,3502.8,3.5
2023-S03,2023-01-17,1,Q1,Infection respiratoire aiguë,3153.0,2.0,0.06
